,x1,x2,x3,x4,x5
2006,0.0,-0.0,0.0,0.0,-1.0
2169,0.0,0.0,0.0,0.0,-1.0
2211,0.0,-0.0,-0.0,0.0,-1.0
3526,0.0,-0.0,0.0,0.0,-1.0
3936,-0.0,0.0,0.0,-0.0,-1.0
3814,0.0,1.0,-0.0,0.0,0.0
2233,-0.0,0.0,0.0,0.0,-1.0
3745,-0.0,-0.0,0.0,-0.0,-1.0
3160,-0.0,0.0,-0.0,-0.0,-1.0
3568,0.0,-0.0,0.0,-0.0,-1.0
3415,0.0,-0.0,0.0,0.0,-1.0
2474,0.0,-0.0,-0.0,0.0,-1.0
3840,0.0,-0.0,0.0,0.0,-1.0
3475,0.0,-0.0,0.0,-0.0,-1.0
2286,0.0,-0.0,-0.0,-0.0,-1.0
3049,0.0,-0.0,0.0,0.0,-1.0
2448,-0.0,0.0,-0.0,0.0,-1.0
3698,-0.0,0.0,-0.0,0.0,-1.0
3403,-0.0,0.0,-0.0,-0.0,-1.0
3972,0.0,-0.0,-0.0,-0.0,-1.0
3673,0.0,-0.0,-0.0,-0.0,-1.0
2061,-0.0,0.0,0.0,-0.0,-1.0
3772,0.0,-0.0,-0.0,0.0,-1.0
3932,0.0,-0.0,0.0,-0.0,-1.0
3056,0.0,-0.0,0.0,0.0,-1.0
2487,-0.0,0.0,0.0,0.0,-1.0
2542,-0.0,0.0,0.0,-0.0,-1.0
2234,0.0,0.0,-0.0,0.0,-1.0
2179,0.0,-0.0,-0.0,-0.0,-1.0
3644,0.0,0.0,0.0,0.0,-1.0
2864,-0.0,0.0,-0.0,-0.0,-1.0
3509,0.0,0.0,-0.0,-1.0,0.0
2091,0.0,-0.0,-0.0,0.0,-1.0
3705,0.0,-0.0,0.0,-0.0,-1.0
2000,0.0,-0.0,-0.0,-0.0,-1.0
2629,0.0,0.0,0.0,-0.0,-1.0
2097,0.0,-0.0,0.0,-0.0,-1.0
2255,-0.0,0.0,0.0,-0.0,-1.0
2201,0.0,0.0,0.0,0.0,-1.0
3615,0.0,-0.0,0.0,0.0,-1.0
3539,0.0,-0.0,-0.0,-0.0,-1.0
2183,-0.0,-0.0,-0.0,0.0,-1.0
3054,0.0,-0.0,0.0,-0.0,-1.0
3746,-0.0,0.0,0.0,0.0,-1.0
2067,0.0,0.0,-0.0,-0.0,-1.0
3018,-0.0,0.0,-0.0,0.0,-1.0
2324,-0.0,0.0,-0.0,-0.0,-1.0
3249,0.0,-0.0,0.0,0.0,-1.0
3476,-0.0,0.0,0.0,0.0,-1.0
2275,0.0,-0.0,0.0,-0.0,-1.0
2008,0.0,-0.0,0.0,-0.0,-1.0
2661,0.0,0.0,0.0,0.0,-1.0
2224,-0.0,0.0,0.0,0.0,-1.0
2906,0.0,0.0,-0.0,-0.0,-1.0
2188,0.0,0.0,-0.0,0.0,-1.0
3924,0.0,-0.0,0.0,0.0,-1.0
2131,-0.0,0.0,0.0,-0.0,-1.0
2546,0.0,-0.0,-0.0,-0.0,-1.0
2389,0.0,0.0,0.0,-0.0,-1.0
2721,0.0,0.0,0.0,0.0,-1.0
2720,0.0,-0.0,0.0,0.0,-1.0
2713,-0.0,0.0,0.0,-0.0,-1.0
3286,0.0,-0.0,0.0,0.0,-1.0
3088,0.0,0.0,-0.0,-0.0,-1.0
3603,-0.0,0.0,0.0,-0.0,-1.0
2886,0.0,-0.0,-0.0,0.0,-1.0
3361,-0.0,0.0,-0.0,0.0,-1.0
3423,-0.0,-0.0,-0.0,-0.0,-1.0
3295,-0.0,0.0,0.0,0.0,-1.0
3734,0.0,-0.0,0.0,-0.0,-1.0
3137,-0.0,0.0,-0.0,0.0,-1.0
2501,0.0,0.0,-0.0,-0.0,-1.0
3388,-0.0,0.0,-0.0,-0.0,-1.0
3247,-0.0,0.0,-0.0,0.0,-1.0
2706,-1.0,0.0,0.0,-0.0,0.0
2787,-0.0,0.0,-0.0,-0.0,-1.0
2636,-0.0,0.0,0.0,0.0,-1.0
3821,0.0,-0.0,0.0,-0.0,-1.0
3857,0.0,0.0,0.0,-0.0,-1.0
2087,0.0,-0.0,0.0,0.0,-1.0
2880,0.0,-0.0,0.0,0.0,-1.0
3142,-0.0,0.0,-0.0,0.0,-1.0
3387,-0.0,0.0,-0.0,-0.0,-1.0
2391,0.0,-0.0,0.0,-0.0,-1.0
3456,0.0,0.0,-0.0,-0.0,-1.0
2028,-0.0,0.0,-0.0,0.0,-1.0
3125,0.0,-0.0,-0.0,-0.0,-1.0
3535,-0.0,0.0,0.0,0.0,-1.0
3505,-0.0,0.0,-0.0,-0.0,-1.0
2848,-0.0,0.0,0.0,-0.0,-1.0
2068,0.0,-0.0,0.0,0.0,-1.0
2997,-0.0,0.0,-0.0,0.0,-1.0
3420,-0.0,0.0,0.0,-0.0,-1.0
