,years_experience,degree,nr_commits,nr_languages,nr_stars
2416,0.0,0.0,838.0,0.0,0.0
3438,0.0,0.0,-14.0,0.0,6.0
2150,0.0,0.0,828.0,0.0,3.0
2409,0.0,0.0,828.0,0.0,3.0
2840,0.0,0.0,-16.0,0.0,7.0
2146,0.0,0.0,825.0,0.0,7.0
2163,0.0,0.0,831.0,0.0,7.0
2190,0.0,0.0,823.0,0.0,5.0
3813,0.0,0.0,809.0,0.0,10.0
2637,0.0,0.0,845.0,0.0,3.0
3620,0.0,0.0,836.0,0.0,10.0
2581,0.0,0.0,839.0,0.0,9.0
3871,0.0,0.0,1818.0,0.0,10.0
2655,0.0,0.0,832.0,0.0,0.0
2061,0.0,0.0,1821.0,0.0,5.0
2254,0.0,0.0,834.0,0.0,0.0
3831,0.0,0.0,-26.0,0.0,8.0
2600,0.0,0.0,0.0,1.0,0.0
3830,0.0,0.0,831.0,0.0,0.0
2440,0.0,0.0,836.0,0.0,0.0
3741,0.0,0.0,835.0,0.0,5.0
3574,0.0,0.0,825.0,0.0,6.0
2739,0.0,0.0,824.0,0.0,6.0
3069,0.0,0.0,836.0,0.0,7.0
2266,0.0,0.0,826.0,0.0,6.0
3407,0.0,0.0,0.0,0.0,9.0
2831,0.0,0.0,835.0,0.0,8.0
3918,0.0,0.0,833.0,0.0,0.0
3947,0.0,0.0,830.0,0.0,7.0
2098,0.0,0.0,825.0,0.0,6.0
2380,0.0,0.0,831.0,0.0,8.0
2665,0.0,0.0,835.0,0.0,7.0
3541,0.0,0.0,834.0,0.0,9.0
3060,0.0,0.0,841.0,0.0,3.0
3841,0.0,0.0,846.0,0.0,7.0
3624,0.0,0.0,817.0,0.0,4.0
3150,0.0,0.0,846.0,0.0,5.0
2824,0.0,0.0,832.0,0.0,9.0
2817,0.0,0.0,834.0,0.0,0.0
3258,0.0,0.0,819.0,0.0,10.0
3537,0.0,0.0,838.0,0.0,5.0
2604,0.0,0.0,826.0,0.0,9.0
3084,0.0,0.0,846.0,0.0,7.0
2742,0.0,0.0,1822.0,0.0,8.0
3157,0.0,0.0,0.0,0.0,4.0
3609,0.0,0.0,-7.0,0.0,7.0
