,h_post,h_post_individualized
2226,0.5001936999988092,
2026,0.5127823054671213,
2346,0.5048560198091303,
3698,0.5043421721054965,
3573,0.6005969015104242,
2196,0.5002937635278386,
3528,0.524956142517661,
2182,0.5038143352335468,
2370,0.506235874166006,
2284,0.5175322237880493,
2494,0.5198806920263056,
2400,0.5052072262336051,
2701,0.5151670349345603,
3244,0.5011899937632257,
2491,0.5057263536244928,
3962,0.5383489886644873,
3231,0.5959974043912457,
3149,0.5105253343171762,
2323,0.5043456313471117,
2429,0.5929999250910578,
2721,0.5327060345955131,
2408,0.5097714915300265,
2789,0.5713645690367737,
3454,0.5835677960239817,
2811,0.575130873352083,
3621,0.5119136489685825,
2341,0.600250859599836,
2973,0.5098976920330655,
3949,0.5879480486807793,
2459,0.5186631048035458,
3088,0.5318827688592159,
3431,0.583762251955674,
2822,0.5580829234444142,
3633,0.5280941291492623,
3053,0.5308217546246351,
2835,0.5006867977669811,
3172,0.5041960859697253,
3919,0.6511466190086818,
2188,0.5773576992902167,
2184,0.5194752036046724,
2723,0.6006911076775527,
2779,0.5084416503962049,
3037,0.5081628175236566,
2406,0.5079257253144738,
3474,0.5430496453807955,
3481,0.5499362582667295,
2990,0.5066192395393146,
2579,0.5452625898377155,
2802,0.5058327861194057,
3946,0.5165578571898327,
2531,0.5857821950119875,
2474,0.508116592592976,
3772,0.5064055358800335,
2478,0.523164783875543,
2916,0.5048794685205609,
2589,0.5331544038708456,
2566,0.501898669112426,
3555,0.5073806659524921,
3213,0.532923400416354,
3607,0.5097040509456922,
3324,0.5046275052156476,
3747,0.504477160644184,
2446,0.5063722398460204,
3524,0.5025854905384924,
3953,0.5052441933397539,
3408,0.501406262304737,
2944,0.5063948594595479,
3142,0.5915856464899326,
2316,0.5094859630072447,
2998,0.512129332107075,
3157,0.5088127276968181,
2455,0.5099494845252339,
3056,0.5115144207849363,
2595,0.5090968340604772,
2362,0.5155973343510106,
2121,0.5158485628542122,
2081,0.53280554428762,
2912,0.5114283832096198,
2487,0.5124947277583717,
2217,0.5253153016189892,
2279,0.5491814389081898,
3353,0.5739610759836967,
2087,0.5236222402525625,
2729,0.5098717721681691,
3543,0.5325295076988676,
3636,0.5259491452802232,
2715,0.5032436801163016,
2378,0.529764857606602,
3003,0.5225012872168319,
2483,0.5158214250084542,
3608,0.5065737020289398,
2210,0.5167374382723141,
2252,0.5194213988946608,
3234,0.5065827381510274,
3488,0.5410312522098103,
3078,0.5197936500478432,
3358,0.5017573218676179,
2456,0.5177419759668276,
2014,0.5012355624985413,
2328,0.5257066610125832,
2945,0.5565538991864895,
3532,0.5205992346288251,
2844,0.5027682333064569,
3974,0.515142145442895,
2010,0.5244303335848565,
3013,0.5490725705846425,
2685,0.5124952827913349,
3832,0.5045967715807698,
2448,0.5049021654826384,
3287,0.5142762971997168,
3087,0.5258949861017709,
3729,0.504905604087855,
3146,0.5122403009930695,
3504,0.5420455601955723,
3575,0.5432853583845776,
2218,0.5243815597255416,
3385,0.5054313064727446,
2123,0.5262480411168653,
2476,0.5185772424072598,
2821,0.5346833751846789,
2394,0.5059806827174418,
3706,0.5025729724113359,
2191,0.5155338605104351,
3982,0.5130532010951692,
2248,0.5518507611129563,
2266,0.5477774735963278,
3914,0.6262090746717229,
3181,0.5178691592836977,
3759,0.7513338572180986,
2468,0.5670177494196361,
2261,0.5261033850310921,
3153,0.5097058335063005,
2997,0.513045092152183,
2890,0.5012890070834266,
2021,0.506908628749417,
2516,0.5093112375876552,
3008,0.5160110153380936,
3719,0.5239631754886048,
3717,0.5222286669969758,
2437,0.5040600235775395,
3333,0.5232749984353027,
3066,0.5103859438128088,
2719,0.5038421269914594,
3247,0.5595982600818646,
2376,0.5144473523615579,
2931,0.5069621964401516,
3176,0.5413789201722916,
3553,0.5083520075761063,
3952,0.5070385626774084,
2581,0.5149222655399613,
3570,0.5041001962983035,
3435,0.5391122422310538,
3199,0.5120723228481724,
2950,0.5049007113655778,
3723,0.5274719029725226,
3661,0.5208606877221904,
2288,0.6808482575819016,
3883,0.5319386835193503,
2517,0.500142298217679,
3250,0.5316647625306902,
3109,0.5116040069610837,
3866,0.5304674453148835,
3775,0.5280547987631831,
2187,0.5324926551356394,
2786,0.5127067982487623,
2414,0.5112165946152305,
3422,0.5679288187385464,
3345,0.5074049816659272,
3272,0.5218422459178752,
2269,0.5098128977397242,
2246,0.5126704554304828,
2926,0.518892784582807,
2213,0.5715947312470195,
2088,0.578983933816043,
2772,0.5011188186028692,
2505,0.5081566368171613,
3361,0.5159030317322851,
3542,0.5015806465819103,
3655,0.5051257761059309,
3277,0.5053913949026582,
2803,0.5066564969722244,
2936,0.5014136915170581,
3344,0.513391685755186,
3382,0.6090529491711606,
3196,0.5117515196483814,
2460,0.5347207744629568,
3079,0.5050567240161037,
2538,0.5569420299596786,
2741,0.5076362840634497,
3281,0.5021488224042702,
3340,0.537780360793888,
2422,0.5020053148070345,
3484,0.5205836485001063,
3922,0.5314507007946097,
3019,0.5887793125726959,
2551,0.5187043850754176,
2893,0.520169148731197,
2183,0.5159471871140897,
3114,0.5100556140711008,
2447,0.5104265093258356,
