,h_post,h_post_individualized
2869,0.775992544293478,1.0
3254,0.8326600008326868,1.0
3885,0.7229239809921739,0.6649576425552368
2110,0.9048872662945271,1.0
3719,0.8694113436680674,0.5321643948554993
2099,0.6880045880603844,0.5869204998016357
2510,0.8809749406502962,1.0
3216,0.8585251276069427,1.0
2430,0.8536425558739188,0.5447885990142822
3566,0.5508962464275178,1.0
3512,0.821521608166948,0.4588949382305145
2672,0.9478810697557916,1.0
2995,0.6976837377120402,1.0
2826,0.8107718999485903,0.6419930458068848
2748,0.7683455494040975,1.0
3438,0.8983403670316203,1.0
3180,0.7832392950674614,1.0
3021,0.7962259022314166,0.5435882806777954
2136,0.7556585724182143,0.5860864520072937
3221,0.6647568304281452,0.5354737043380737
2846,0.8485521481903621,0.6476015448570251
2275,0.5263602225179677,0.3572166860103607
2042,0.7410669704068366,0.5462737679481506
2816,0.8296379143836564,0.040157854557037354
2412,0.8495174680818757,0.5400364398956299
2215,0.607555207029389,1.0
3683,0.7671542916800079,1.0
3847,0.8768669969866439,1.0
3171,0.6999008837451898,1.0
3339,0.8089584327598838,0.22113488614559174
2666,0.3838552580554779,1.0
2912,0.8998061472249531,1.0
3965,0.8594394474394185,1.0
2170,0.8965256940390521,1.0
3560,0.7621508873095434,1.0
2948,0.7039190131008652,1.0
2902,0.7403418746971638,1.0
3318,0.6954849710910798,0.5474399924278259
3287,0.7274741496829514,0.5701234340667725
2671,0.8408691651694317,1.0
3187,0.743252487582661,0.6626482009887695
3337,0.924610474555325,1.0
2379,0.7616951710122538,1.0
3206,0.7607675448332211,1.0
2872,0.6443809407822949,1.0
2692,0.8753541248940805,1.0
2665,0.8481540608464181,0.3826383650302887
2507,0.948193792620884,1.0
3915,0.8306169963763681,0.6391074657440186
3439,0.8893204622067357,1.0
3014,0.5420978788293254,1.0
3702,0.7815475110863415,0.6498864889144897
3804,0.7416443485024801,0.6096551418304443
2750,0.561464712043321,1.0
2848,0.9041175228524359,1.0
3950,0.9220221607515495,1.0
2594,0.7479687898200985,1.0
3849,0.8848408178138812,1.0
2627,0.805644352152882,1.0
3197,0.8441792154895725,1.0
3132,0.8265675023986438,0.5600738525390625
2849,0.8371479050595306,0.7163730263710022
3297,0.7523961607852501,0.16055981814861298
2098,0.8917486472834342,1.0
2254,0.9186964849787224,1.0
3953,0.912369248248908,1.0
2532,0.7536188658592703,0.39056476950645447
3349,0.6872444404115963,0.34480369091033936
2135,0.8391649291340415,1.0
3771,0.5704223473857575,1.0
2853,0.7310436563714107,0.5347335934638977
3636,0.8858083762040816,1.0
3170,0.8778859450908063,1.0
2180,0.7143567389136253,0.01763426512479782
3808,0.6941941478735504,0.616909384727478
2041,0.8876720128503538,1.0
3383,0.8774491086558699,1.0
2560,0.8394198076398481,1.0
3448,0.4127184233514718,0.04739416763186455
3042,0.29878521177462597,1.0
2765,0.6922617071474821,0.649901807308197
3477,0.866719332800018,1.0
2505,0.9299157082116336,1.0
2247,0.8457879796228742,1.0
2308,0.8648592299667929,0.6480832695960999
3085,0.822454360412027,1.0
3005,0.8184202187789208,1.0
2540,0.7760777041174813,0.5367811322212219
3814,0.820735232924883,0.5705386400222778
2961,0.8610140231046881,1.0
2093,0.6273574879839654,0.5258266925811768
2989,0.7055797706578241,0.6132175922393799
3538,0.7093520009334796,1.0
3432,0.5551461005111812,0.2147192806005478
3674,0.8162748805539749,0.34910252690315247
2588,0.702731613673277,0.4458511471748352
2997,0.5767710723807762,0.241922527551651
2928,0.7684147507667389,1.0
3501,0.9650365167212955,1.0
2834,0.8286209828066831,1.0
2439,0.6488547288168633,0.46117568016052246
2257,0.9653922483461477,1.0
3859,0.42098752517978094,0.055346548557281494
3981,0.71288531657395,0.5370140671730042
2689,0.7506806482317636,0.6613585948944092
3974,0.8657666182135539,0.36333364248275757
3059,0.8843250713414035,1.0
3887,0.47896342644457834,0.1972821056842804
2714,0.8835544623022178,1.0
2253,0.9140477322217376,1.0
2058,0.7223315217060144,0.5949819684028625
2683,0.7847287537598467,0.48824578523635864
3435,0.8149097686117993,1.0
3786,0.8038540333737992,1.0
3523,0.8754081173788106,0.6472026705741882
3196,0.7813285688942823,1.0
3618,0.8742433967880175,0.6738275289535522
2529,0.8045211061229434,1.0
3169,0.7137596479324244,0.4903821349143982
2441,0.8688671886425102,1.0
2393,0.9313642855073268,1.0
3873,0.6247053255961105,0.4355742633342743
3528,0.7817380425363767,0.544699490070343
3751,0.9310160981156989,1.0
2660,0.5570819150732577,0.23194222152233124
2474,0.961006502575941,1.0
3037,0.8322720792871839,1.0
2466,0.8944307107511691,1.0
3862,0.7776076780577741,1.0
2705,0.9129936795873982,1.0
2194,0.8280566978233352,0.30305999517440796
3755,0.6941100141826743,0.6339476704597473
2252,0.8086849292459454,0.611972987651825
3443,0.7012416953285162,1.0
2871,0.9400480379509504,1.0
2267,0.6427496626161207,1.0
2696,0.9030891945711993,1.0
2256,0.8614035626072766,1.0
2737,0.8414964515231438,1.0
3765,0.7585148770861162,1.0
3141,0.7861720110363697,1.0
3078,0.8599477568843269,1.0
3150,0.5490428441078804,1.0
2181,0.7189779264947446,1.0
2424,0.8472378214312624,1.0
3104,0.5977475300455528,0.15848620235919952
2543,0.7726386285898363,1.0
2169,0.8742469872651066,1.0
2216,0.7619110381898585,1.0
3361,0.5593288663484555,0.12012431025505066
3378,0.7127299639948723,0.6416051983833313
3821,0.6201684356884133,0.032181963324546814
2927,0.870569969859109,0.533455491065979
3952,0.682233932347693,0.07215216010808945
2344,0.8404897794295791,1.0
3500,0.7670176205757798,1.0
2044,0.7768467462201915,0.6202627420425415
2847,0.684850955409382,0.5323092937469482
2323,0.9696812039154312,1.0
2890,0.854085553635516,0.2686644196510315
3317,0.42055976217732877,1.0
3028,0.8384274006546629,1.0
3772,0.6860990967248901,1.0
3277,0.5474404386061776,0.18744368851184845
2285,0.8822073349329177,1.0
3375,0.8827181798487213,1.0
3723,0.4852564867446887,1.0
3267,0.8614670583194577,0.7321892380714417
3372,0.7996844663083172,1.0
2749,0.8102522901253332,1.0
2000,0.669610653660114,0.07188571244478226
3112,0.6899140467011929,0.07841772586107254
2292,0.9487809082744181,1.0
2011,0.5958983123660238,0.41154852509498596
3009,0.930647262612336,1.0
3864,0.6743834084490027,0.46750327944755554
3511,0.8134926610722741,1.0
2502,0.8080847844940656,0.6505441069602966
2866,0.9110801970491913,1.0
2938,0.7801728896153877,0.6772652864456177
3976,0.8133372295325413,0.6988557577133179
2171,0.7802238729775095,1.0
3971,0.9021877029093287,1.0
3796,0.5865890408233843,0.28252020478248596
2242,0.8100951171036755,0.5670338273048401
