,h_post,h_post_individualized
2837,0.5067129019625721,
2162,0.5264776520871182,
2700,0.5202877737902787,
3245,0.5010452812954145,
3114,0.52245312008211,
3322,0.5017269430676516,
3501,0.5029477416118132,
3761,0.5023249610790191,
2198,0.5128913614935817,
2435,0.5106288514519284,
3903,0.5061633792158531,
3987,0.5291997558462278,
3257,0.5051328290253384,
2757,0.5305253692835503,
3155,0.5197469847036282,
3827,0.5213483266602424,
2456,0.503326745149263,
2728,0.5146270607250979,
2903,0.5139686155631418,
3830,0.5046060222149787,
3006,0.5121900410754456,
2914,0.506381553097208,
2039,0.5028032297274384,
2607,0.5272274285852052,
3609,0.5126908444821525,
2432,0.5036309177665568,
2447,0.5197910874842456,
2327,0.5000758276754592,
3031,0.5075444959164405,
3020,0.5129284525898845,
2964,0.526948813945684,
2563,0.5025181732950053,
2592,0.5182851676564991,
3082,0.5102096825409861,
3749,0.5006997080269879,
2102,0.5069176003750548,
3890,0.5220667477480091,
3318,0.5079780897610537,
3231,0.5616468554545158,
3146,0.5102590354350938,
2679,0.5016252306346161,
2730,0.5202083744760992,
3674,0.5237623117795963,
2740,0.500098175972152,
3724,0.5370829412360262,
3063,0.5248859128677014,
3212,0.5087461853442181,
2714,0.5244900845475016,
3264,0.5270440033318241,
3679,0.5226485486199115,
3423,0.5005998190078341,
2846,0.5203907696712502,
2684,0.521795250843313,
2952,0.5253388649716162,
2785,0.5033021592422945,
2107,0.5240307824726617,
3700,0.5130611107414487,
3799,0.5174561143741563,
2602,0.5045221997639103,
2863,0.5044253177580846,
2125,0.5286627907533988,
2159,0.5196347890969795,
3669,0.5049708430855862,
3506,0.5222959160833729,
3191,0.507727182248298,
2651,0.5029870092098208,
2219,0.5245252520670152,
2584,0.5029269707169891,
2479,0.5376100838963715,
3265,0.5061700773491538,
3640,0.5210165153712342,
2123,0.5582575605644301,
3144,0.5065327172057414,
3889,0.5067594633276806,
3432,0.5230252528401901,
2791,0.5101284276912107,
3259,0.5432024769108347,
2362,0.5215497604854005,
2377,0.5204603465859949,
3984,0.502978724575854,
3612,0.5201760974752114,
3183,0.5314362823357835,
3018,0.5189014865664147,
3094,0.511196192533737,
3527,0.505011120828372,
2299,0.5174291868285645,
3683,0.5107184873512971,
3487,0.5007050485818347,
2997,0.5251008510184315,
3507,0.5202144781141992,
2345,0.502147869913297,
3769,0.5281736405867509,
3544,0.5224185580582792,
2042,0.5142784153703791,
3619,0.5085544384068015,
2358,0.5128063338325196,
2590,0.5158918191780544,
2030,0.5079179572627448,
3132,0.5148954787558871,
2372,0.5165031262420265,
3009,0.5242037521101979,
2174,0.571485907912082,
2672,0.5207929151437036,
3060,0.5040226233901044,
2321,0.5054242063979655,
2795,0.5281192848396691,
3616,0.5081742904463687,
2812,0.5039999541398724,
3785,0.5161052468763359,
3195,0.519459467247192,
2957,0.5065419933711159,
3738,0.5142476459466674,
3585,0.5069726216087103,
3376,0.5249535190820165,
2645,0.5132272563490136,
3878,0.5038360922237004,
3604,0.5349269517022731,
2029,0.5038515505096702,
3110,0.5107288359163412,
3556,0.5052489995971166,
2805,0.5169059363824577,
2334,0.5248860596018846,
3888,0.5407901835126115,
3079,0.520016273989169,
2060,0.5298992744377315,
3239,0.5153437876568904,
2689,0.5173174468836647,
3881,0.5094520818086613,
2659,0.5235860521340524,
2941,0.518891131098507,
2893,0.53272914471974,
3626,0.5002297956929244,
3853,0.549421755771497,
3404,0.5290977984731189,
2364,0.5723581303256432,
2583,0.5076537501808354,
3620,0.536002172622131,
2665,0.5120720188773906,
3726,0.519531856872624,
2754,0.5230804813000955,
2361,0.5170148786018655,
2403,0.5154957023898477,
3747,0.512687022380846,
3452,0.5136407156903869,
3378,0.5075588748403949,
2076,0.5163859462432211,
2160,0.5041493139195199,
2117,0.5062926197413941,
3517,0.5091520859650343,
3490,0.524766104247582,
3795,0.5041170065025534,
3822,0.5008924735421787,
2154,0.5958874839372943,
2851,0.5106433444135201,
3297,0.5270559886958204,
2536,0.5126748458617901,
3494,0.5085266446168256,
3437,0.5168166602940506,
2880,0.5316998896696945,
2939,0.5500665531885782,
2967,0.5403710015348402,
3177,0.5452294503325857,
3789,0.5134148193263061,
2702,0.5012442286333233,
3441,0.5120992428236895,
3593,0.5251064838581367,
3457,0.5052289875758733,
2764,0.507943693257246,
2428,0.514998712817975,
2461,0.5229663793576188,
3695,0.5221185623389685,
3220,0.5850191966193417,
2440,0.519330624676303,
3574,0.5073749288115409,
2249,0.5015733307672174,
2573,0.5052454846033082,
2742,0.523652027712118,
3028,0.5046619897432469,
3323,0.5263811540506823,
3514,0.5187274396268348,
3579,0.49848445552439924,
2469,0.5185414260260223,
3909,0.5019230450218543,
2734,0.506944277921932,
3316,0.5179041060514116,
2518,0.5209441550882616,
3030,0.5286705369092801,
3694,0.5309572616473698,
3213,0.522312512860466,
3003,0.5048729895173055,
3226,0.518377934808776,
3140,0.5176997315199547,
2619,0.5009187470007712,
2244,0.5060396541143367,
2312,0.518342907080105,
3872,0.5187752139135966,
2531,0.5072914147501469,
2828,0.51058392094333,
3895,0.5033627305765203,
3709,0.5054607842385646,
