,perc_recomm_found,gamma,eta,gamma_obs,gamma_obs_pre,eta_obs,eta_obs_individualized,costs,lbd,thresh,r_type,t_type,iteration,model_coef,eta_obs_refits_batch0_mean,intv-cost
27,1.0,0.9,0.9,0.10999999940395355,0.04500000178813934,0.925,,"[1.0, 1.0, 1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,8,,0.8889999389648438,2.4345549738219896
28,0.955,0.9,0.9,0.6125654578208923,0.0,0.612565445026178,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,improvement,8,,0.6272251009941101,1.055
29,1.0,0.9,0.9,0.14000000059604645,0.07000000029802322,0.935,,"[1.0, 1.0, 1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,8,,0.902999997138977,2.873684210526316
30,0.95,0.9,0.9,0.9052631855010986,0.0,0.7736842105263158,0.9052631578947369,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,improvement,4,,0.8294736742973328,1.01
31,1.0,0.9,0.9,0.05999999865889549,0.05000000074505806,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,4,,0.9470000267028809,1.015
32,1.0,0.9,0.9,0.05999999865889549,0.04500000178813934,0.97,,"[1.0, 1.0, 1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,4,,0.9459999799728394,2.4497354497354498
33,0.945,0.9,0.9,0.6349206566810608,0.0,0.6296296296296297,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,improvement,4,,0.6285713911056519,1.025
34,1.0,0.9,0.9,0.054999999701976776,0.03500000014901161,0.98,,"[1.0, 1.0, 1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,4,,0.9459999799728394,2.935828877005348
35,0.935,0.9,0.9,0.9411764740943909,0.0,0.8716577540106952,0.9411764705882353,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,improvement,3,,0.9026738405227661,1.025
36,1.0,0.9,0.9,0.07999999821186066,0.06499999761581421,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,3,,0.9259999990463257,1.02
